fecha_produccion,Produccion_barriles_t,prediction,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2010-12-01,266.961451612903,265.07219611578535,389.97,194.98,385.37729491845533,192.3925095641475,1.889255497117631
2011-01-01,254.1604918032789,255.52248337679555,382.09,191.04,388.0620002034579,190.08990969075077,-1.3619915735166614
2011-02-01,243.83890624999984,237.35580504729202,364.81,182.4,350.0730019085231,178.04124748350853,6.4831012027078145
2011-03-01,283.80363636363654,276.2878588316166,389.53,194.52,393.3117795570507,195.97083164590939,7.515777532019968
2011-04-01,277.1615384615383,273.3741727274047,377.39,188.69,380.4324909413407,188.36562234779748,3.7873657341336298
2011-05-01,289.3292187499997,285.22606116032733,389.97,194.98,390.0874536857534,194.1767503955111,4.103157589672378
2011-06-01,269.64806451612895,268.64496605718983,377.39,188.69,376.59318558097436,188.43549176649358,1.003098458939121
2011-07-01,283.24737704918005,272.74847240164326,389.97,194.98,387.4960626244056,194.62242270771839,10.49890464753679
2011-08-01,282.35180327868835,280.0717309783458,399.46,192.72,396.5435711447301,196.5346555047012,2.2800723003425674
2011-09-01,273.24746031746025,273.8854350220861,386.6,186.49,378.76558510220633,189.82203256807546,-0.6379747046258331
2011-10-01,279.568064516129,277.2713832036814,400.09,193.06,390.1087874554152,194.37991632502712,2.2966813124476175
2011-11-01,269.16716666666673,267.8021271678855,386.495,186.53,372.56410911444186,183.76134704819484,1.3650394987812433
2011-12-01,269.9757377049181,275.4968770233852,399.66,192.34,388.7397329196786,195.01656507471708,-5.521139318467078
2012-01-01,266.3865,268.740600948432,399.59,192.34,393.8385656318559,192.29974990173753,-2.3541009484320057
2012-02-01,239.8722033898305,242.89964764783812,360.82,173.7,357.54484756755085,177.68214588379328,-3.0274442580076197
2012-03-01,264.07203389830494,264.01827259218305,387.71200000000005,192.38,388.34314055230817,190.52126666877052,0.0537613061218849
2012-04-01,257.9132786885246,256.5904530074796,385.98,185.93,380.7716876444863,185.75588518908788,1.3228256810450034
2012-05-01,265.8806451612902,265.89995458828975,398.009,192.38,387.5419243057108,192.3509737670485,-0.0193094269995413
2012-06-01,255.75467741935498,256.3038448356532,385.1669999999999,186.18,377.66584660094054,182.48328702124476,-0.5491674162982179
2012-07-01,265.83999999999986,264.03778348684256,398.009,192.38,392.7895840051325,189.79489698178187,1.8022165131573047
2012-08-01,271.6449180327868,271.0238160946645,399.48,192.38,390.19128761338965,196.75467670087085,0.6211019381223082
2012-09-01,272.5424193548388,268.55540219310905,386.59,186.18,384.57620148725647,187.77147667159443,3.9870171617297387
2012-10-01,290.5709677419353,281.0736711375917,506.0199999999998,192.64,400.53587674328975,194.12639673692811,9.497296604343603
