fecha_produccion,Produccion_gasMMpc_t,prediction_gas,Qomes_b_t_q90,Qomes_b_t_q10,prediccion_q90,prediccion_q10,residuo
2008-11-01,0.1535185185185185,0.15337750434769337,0.3310000000000001,0.1,0.32612379065135844,0.09999704155105045,0.00014101417082512668
2008-12-01,0.14949999999999994,0.15017429586938885,0.30400000000000005,0.1,0.3048029189492111,0.10004900077979764,-0.0006742958693889134
2009-01-01,0.14301886792452823,0.14364561257984376,0.24,0.1,0.2401366713376321,0.09877633332311923,-0.0006267446553155365
2009-02-01,0.13363636363636353,0.13359594640320463,0.21000000000000002,0.1,0.21595111252446536,0.09691874334382608,4.041723315889589e-05
2009-03-01,0.15539682539682548,0.15529110459729875,0.29400000000000037,0.11,0.2945559747929649,0.10884519711660091,0.0001057207995267262
2009-04-01,0.14806451612903218,0.14768889767116,0.29199999999999987,0.1,0.2924388035327137,0.1000170320434028,0.00037561845787217885
2009-05-01,0.15639344262295085,0.15554456082846488,0.31,0.1,0.3110503421920055,0.10454915461350775,0.0008488817944859728
2009-06-01,0.14444444444444443,0.14458215225070364,0.23,0.1,0.22949796385652949,0.09954012382696371,-0.00013770780625921297
2009-07-01,0.15609375000000006,0.15376848084368522,0.28600000000000025,0.10999999999999999,0.2758186617742747,0.10686932191617025,0.002325269156314841
2009-08-01,0.15234375000000006,0.15190327481180216,0.28600000000000025,0.1,0.2860852480548965,0.10110339482911045,0.00044047518819789744
2009-09-01,0.14645161290322575,0.14671427069739967,0.2929999999999999,0.1,0.29550786142533053,0.09978978666235852,-0.00026265779417392054
2009-10-01,0.15825396825396829,0.15632647634504487,0.30200000000000043,0.11,0.301239877799945,0.10911781950712698,0.0019274919089234122
2009-11-01,0.14365079365079358,0.1449967737860699,0.27400000000000035,0.1,0.2762145841592782,0.0994917806906356,-0.0013459801352763145
2009-12-01,0.16032258064516133,0.15954516753538608,0.3109999999999999,0.10999999999999999,0.3104426003714537,0.10931252218106874,0.000777413109775249
2010-01-01,0.16262295081967218,0.16236416164471407,0.32,0.11,0.3201205359797737,0.10915869637027777,0.0002587891749581128
2010-02-01,0.14216666666666658,0.14199080358316002,0.272,0.1,0.2731728562079359,0.099434765164171,0.0001758630835065611
2010-03-01,0.1496551724137932,0.15104295256823677,0.23,0.11000000000000001,0.23136755096021477,0.1091731859282348,-0.0013877801544435742
2010-04-01,0.14178571428571424,0.14293433464210104,0.22,0.1,0.22025446419052186,0.09983134812584103,-0.001148620356386798
2010-05-01,0.14950000000000002,0.15160705159709592,0.23400000000000007,0.1,0.24033118150424396,0.10588687448759594,-0.002107051597095899
2010-06-01,0.14762711864406788,0.1457309184284872,0.2180000000000001,0.11,0.23305425724335527,0.1084092911961771,0.001896200215580679
2010-07-01,0.14745762711864416,0.14835624796771008,0.22200000000000003,0.11,0.23436108006730766,0.10732273689738397,-0.0008986208490659175
2010-08-01,0.14482758620689667,0.14468089672844242,0.21999999999999997,0.11000000000000001,0.22063908528830534,0.10919328250907943,0.00014668947845425384
2010-09-01,0.14017857142857154,0.13975306456813263,0.21,0.11,0.2110865606997133,0.10896843240821888,0.00042550686043890673
2010-10-01,0.14169491525423739,0.14150909615686053,0.22,0.11,0.2196232104558074,0.10968839439071185,0.0001858190973768603
2010-11-01,0.13149999999999987,0.13205009381055577,0.21,0.1,0.20976327488770205,0.09974497196911407,-0.0005500938105559017
2010-12-01,0.14161290322580652,0.14107490250567561,0.22,0.10999999999999999,0.21976883544820794,0.10911215773710659,0.00053800072013091
2011-01-01,0.1329508196721311,0.1329948690320238,0.23,0.1,0.22826574351939316,0.1000182749442981,-4.404935989268943e-05
2011-02-01,0.13171874999999997,0.1317744563111855,0.22000000000000003,0.1,0.21558154688596098,0.10016285507349465,-5.570631118553826e-05
2011-03-01,0.15,0.14880767535981335,0.22,0.11,0.22046818758145476,0.10979307964154582,0.0011923246401866483
