index,NOMBRE_DE_POZO,NOMBRE_DEL_ELEMENTO_GEOLOGICO,MNEMONICO_DEL_ELEMENTO_GEOLOGICO,TIPO_UNIDAD_ESTRATIGRAFICA,CIMA_(md),BASE_(md),"NIVEL_DE_REFERENCIA
"
325,MOLOACAN-381,CONCEPCION INFERIOR,CNIR,FMN,136,294,MR
326,MOLOACAN-381,ENCANTO,ENCT,FMN,294,713,MR
327,MOLOACAN-381,DEPOSITO,DPST,FMN,713,725,MR
328,MOLOACAN-383,CONCEPCION SUPERIOR,CNSR,FMN,0,165,MR
329,MOLOACAN-383,CONCEPCION INFERIOR,CNIR,FMN,165,311,MR
330,MOLOACAN-383,ENCANTO,ENCT,FMN,311,770,MR
331,MOLOACAN-383,OLIGOCENO,OLGN,FMN,770,866,MR
332,MOLOACAN-383,ANHIDRITA,ANHI,FMN,866,868,MR
333,MOLOACAN-384,CONCEPCION INFERIOR,CNIR,FMN,0,81,MR
334,MOLOACAN-384,ENCANTO,ENCT,FMN,81,550,MR
335,MOLOACAN-385,CONCEPCION INFERIOR,CNIR,FMN,0,96,MR
336,MOLOACAN-385,ENCANTO,ENCT,FMN,96,525,MR
337,MOLOACAN-386,CONCEPCION INFERIOR,CNIR,FMN,0,136,MR
338,MOLOACAN-386,ENCANTO,ENCT,FMN,136,550,MR
339,MOLOACAN-387,CONCEPCION INFERIOR,CNIR,FMN,0,175,MR
340,MOLOACAN-387,ENCANTO,ENCT,FMN,175,550,MR
341,MOLOACAN-388,CONCEPCION INFERIOR,CNIR,FMN,0,134,MR
342,MOLOACAN-388,ENCANTO,ENCT,FMN,134,550,MR
343,MOLOACAN-389,CONCEPCION INFERIOR,CNIR,FMN,0,180,MR
344,MOLOACAN-389,ENCANTO,ENCT,FMN,180,620,MR
345,MOLOACAN-389,OLIGOCENO,OLGN,FMN,620,643,MR
346,MOLOACAN-390,CONCEPCION INFERIOR,CNIR,FMN,0,134,MR
347,MOLOACAN-390,ENCANTO,ENCT,FMN,134,500,MR
348,MOLOACAN-391,CONCEPCION SUPERIOR,CNSR,FMN,0,230,MR
349,MOLOACAN-391,ENCANTO,ENCT,FMN,230,625,MR
350,MOLOACAN-392,FILISOLA,FLSL,FMN,0,119,MR
351,MOLOACAN-392,CONCEPCION SUPERIOR,CNSR,FMN,119,313,MR
352,MOLOACAN-392,CONCEPCION INFERIOR,CNIR,FMN,313,435,MR
353,MOLOACAN-392,ENCANTO,ENCT,FMN,435,800,MR
354,MOLOACAN-394,CONCEPCION SUPERIOR,CNSR,FMN,0,225,MR
355,MOLOACAN-394,CONCEPCION INFERIOR,CNIR,FMN,225,358,MR
356,MOLOACAN-394,ENCANTO,ENCT,FMN,358,575,MR
357,MOLOACAN-395,CONCEPCION SUPERIOR,CNSR,FMN,0,575,MR
358,MOLOACAN-396,CONCEPCION SUPERIOR,CNSR,FMN,0,209,MR
359,MOLOACAN-396,ENCANTO,ENCT,FMN,209,550,MR
360,MOLOACAN-397,CONCEPCION SUPERIOR,CNSR,FMN,0,195,MR
361,MOLOACAN-397,ENCANTO,ENCT,FMN,195,550,MR
362,MOLOACAN-398,CONCEPCION INFERIOR,CNIR,FMN,0,179,MR
363,MOLOACAN-398,ENCANTO,ENCT,FMN,179,500,MR
364,MOLOACAN-399,CONCEPCION INFERIOR,CNIR,FMN,0,126,MR
365,MOLOACAN-399,ENCANTO,ENCT,FMN,126,525,MR
366,MOLOACAN-4,CONCEPCION INFERIOR,CNIR,FMN,0,151,MR
367,MOLOACAN-4,ENCANTO,ENCT,FMN,151,450,MR
368,MOLOACAN-400,CONCEPCION SUPERIOR,CNSR,FMN,0,208,MR
369,MOLOACAN-400,CONCEPCION INFERIOR,CNIR,FMN,208,315,MR
370,MOLOACAN-400,ENCANTO,ENCT,FMN,315,550,MR
371,MOLOACAN-401,CONCEPCION INFERIOR,CNIR,FMN,0,154,MR
372,MOLOACAN-401,ENCANTO,ENCT,FMN,154,500,MR
373,MOLOACAN-402,CONCEPCION INFERIOR,CNIR,FMN,0,152,MR
374,MOLOACAN-402,ENCANTO,ENCT,FMN,152,519,MR
375,MOLOACAN-402,OLIGOCENO,OLGN,FMN,519,626,MR
376,MOLOACAN-402,ANHIDRITA,ANHI,FMN,626,629,MR
377,MOLOACAN-403,CONCEPCION SUPERIOR,CNSR,FMN,0,172,MR
378,MOLOACAN-403,ENCANTO,ENCT,FMN,172,500,MR
379,MOLOACAN-404,CONCEPCION SUPERIOR,CNSR,FMN,0,163,MR
380,MOLOACAN-404,ENCANTO,ENCT,FMN,163,549,MR
381,MOLOACAN-405,CONCEPCION SUPERIOR,CNSR,FMN,0,233,MR
382,MOLOACAN-405,CONCEPCION INFERIOR,CNIR,FMN,233,328,MR
383,MOLOACAN-405,ENCANTO,ENCT,FMN,328,834,MR
384,MOLOACAN-405,OLIGOCENO,OLGN,FMN,834,938,MR
385,MOLOACAN-405,ANHIDRITA,ANHI,FMN,938,942,MR
386,MOLOACAN-406,CONCEPCION SUPERIOR,CNSR,FMN,0,211,MR
387,MOLOACAN-406,ENCANTO,ENCT,FMN,211,560,MR
388,MOLOACAN-406,DEPOSITO,DPST,FMN,560,600,MR
389,MOLOACAN-407,CONCEPCION SUPERIOR,CNSR,FMN,0,182,MR
390,MOLOACAN-407,ENCANTO,ENCT,FMN,182,535,MR
391,MOLOACAN-407,DEPOSITO,DPST,FMN,535,550,MR
392,MOLOACAN-408,CONCEPCION SUPERIOR,CNSR,FMN,0,199,MR
393,MOLOACAN-408,ENCANTO,ENCT,FMN,199,600,MR
394,MOLOACAN-409,CONCEPCION INFERIOR,CNIR,FMN,0,152,MR
395,MOLOACAN-409,ENCANTO,ENCT,FMN,152,550,MR
396,MOLOACAN-409,OLIGOCENO,OLGN,FMN,550,619,MR
397,MOLOACAN-410,CONCEPCION SUPERIOR,CNSR,FMN,0,116,MR
398,MOLOACAN-410,CONCEPCION INFERIOR,CNIR,FMN,116,220,MR
399,MOLOACAN-410,ENCANTO,ENCT,FMN,220,600,MR
400,MOLOACAN-412,CONCEPCION INFERIOR,CNIR,FMN,0,196,MR
401,MOLOACAN-412,ENCANTO,ENCT,FMN,196,556,MR
