NOMBRE DE POZO,TIPO DE TERMINACION,CIMA DE INTERVALO,BASE DE INTERVALO,"PROGRAMA
",NOMBRE DEL YACIMIENTO,ESTADO ACTUAL DEL INTERVALO,CIMA DISPARO,BASE DISPARO,FECHA DE DISPARO,FECHA DE CIERRE,TIPO DE PISTOLA,DIAMETRO DE LA PISTOLA,DENSIDAD DE CARGA,LONGITUD DEL DISPARO,FASE DEL DISPARO,DIAMETRO DEL DISPARO
MOLOACAN-308,INTERVALO DISPARADO,354,355,TERMINACION,ENCANTO,CEMENTADO,354,355,12/06/1964,12/06/1964,BJ,4,12,1,SIN INFORMACION,0.5
MOLOACAN-308,INTERVALO DISPARADO,355,365,TERMINACION,ENCANTO,CEMENTADO,355,365,13/06/1964,16/06/1964,CJ,1 11/16,13,10,90,0.5
MOLOACAN-308,INTERVALO DISPARADO,355,362,TERMINACION,ENCANTO,CEMENTADO,355,362,18/06/1964,21/11/1990,CJ,1 11/16,13,10,90,0.5
MOLOACAN-308,INTERVALO DISPARADO,350,362,REPARACION,ENCANTO,ABIERTO,350,362,15/12/1991,SIN INFORMACION,CJ,1 11/16,13,12,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,512,520,TERMINACION,ENCANTO,AISLADO TXC,512,520,12/06/1964,22/10/1974,CJ,1 11/16,13,8,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,482,486,REPARACION,ENCANTO,AISLADO TXC,482,486,27/10/1974,01/07/1977,CJ,1 11/16,13,4,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,445,448,REPARACION,ENCANTO,AISLADO TXC,445,448,29/10/1974,01/07/1977,CJ,1 11/16,13,3,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,384,389,REPARACION,ENCANTO,AISLADO TXC,384,389,31/10/1974,01/07/1977,CJ,1 11/16,13,5,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,384,389,REPARACION,ENCANTO,AISLADO TXC,384,389,23/06/1977,01/07/1977,CJ,1 11/16,13,5,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,445,448,REPARACION,ENCANTO,AISLADO TXC,445,448,23/06/1977,01/07/1977,CJ,1 11/16,13,3,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,335,344,REPARACION,ENCANTO,AISLADO,335,344,03/07/1977,18/02/1987,CJ,1 11/16,13,9,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,321,330,REPARACION,ENCANTO,AISLADO,321,330,05/07/1977,18/02/1987,CJ,1 11/16,13,9,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,279,281,REPARACION,ENCANTO,CEMENTADO,279,281,18/01/1987,18/02/1987,CJ,1 11/16,13,2,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,268,270,REPARACION,ENCANTO,CEMENTADO,268,270,19/01/1987,18/02/1987,CJ,1 11/16,13,2,90,0.5
MOLOACAN-310,INTERVALO DISPARADO,260,262,REPARACION,ENCANTO,CEMENTADO,260,262,21/01/1987,18/02/1987,CJ,1 11/16,13,2,90,0.5
MOLOACAN-311,INTERVALO DISPARADO,495,497,TERMINACION,ENCANTO,AISLADO TXC,495,497,06/10/1967,25/08/1972,CJ,1 11/16,13,2,90,0.5
MOLOACAN-311,INTERVALO DISPARADO,472,476,TERMINACION,ENCANTO,AISLADO TXC,472,476,09/10/1967,25/08/1972,CJ,1 11/16,13,4,90,0.5
MOLOACAN-311,INTERVALO DISPARADO,448,452,REPARACION,ENCANTO,CEMENTADO,448,452,27/08/1972,29/08/1972,SCALLOP,1 9/16,SIN INFORMACION,4,SIN INFORMACION,SIN INFORMACION
MOLOACAN-311,INTERVALO DISPARADO,448,452,REPARACION,ENCANTO,CEMENTADO,448,452,30/08/1972,19/02/2002,SCALLOP,1 9/16,SIN INFORMACION,4,SIN INFORMACION,SIN INFORMACION
MOLOACAN-311,INTERVALO DISPARADO,448,452,REPARACION,ENCANTO,CEMENTADO,448,452,01/09/1972,19/02/2002,SCALLOP,1 9/16,SIN INFORMACION,4,SIN INFORMACION,SIN INFORMACION
MOLOACAN-312,INTERVALO DISPARADO,580,584,TERMINACION,ENCANTO,AISLADO TXC,580,584,07/06/1969,28/03/1973,CJ,1.6875,13,4,90,SIN INFORMACION
MOLOACAN-312,INTERVALO DISPARADO,553,556,REPARACION,ENCANTO,AISLADO TXC,553,556,30/03/1973,01/04/1973,CJ,1.6875,13,3,90,SIN INFORMACION
MOLOACAN-312,INTERVALO DISPARADO,559,561,REPARACION,ENCANTO,AISLADO TXC,559,561,30/03/1973,01/04/1973,CJ,1.6875,13,2,90,SIN INFORMACION
MOLOACAN-312,INTERVALO DISPARADO,355,362,REPARACION,ENCANTO,CEMENTADO,355,362,02/04/1973,31/12/1990,CJ,1.6875,13,7,90,SIN INFORMACION
